,Route,Year,PointID,grouse1,grouse2,grouse3,elev,fc,doy.1,doy.2,doy.3
228,145,2021,145_12,0,0,0,752.6238443,84.28571429,79,103,113
229,145,2020,145_13,0,0,0,787.3563237,83.20143885,88,109,136
230,145,2021,145_13,0,0,0,787.3563237,83.20143885,79,103,113
231,145,2020,145_14,0,0,0,780.1357943,85,88,109,136
232,145,2021,145_14,0,0,0,780.1357943,85,79,103,113
233,145,2020,145_2,0,0,0,684.4922328,83.45588235,88,109,136
234,145,2021,145_2,0,0,0,684.4922328,83.45588235,79,103,113
235,145,2020,145_3,0,0,0,672.0700198,82.29927007,88,109,136
236,145,2021,145_3,0,0,0,672.0700198,82.29927007,79,103,113
237,145,2020,145_4,0,0,0,669.4979761,78.04347826,88,109,136
238,145,2021,145_4,0,0,0,669.4979761,78.04347826,79,103,113
239,145,2020,145_5,0,0,0,631.3971041,69.37956204,88,109,136
240,145,2021,145_5,0,0,0,631.3971041,69.37956204,79,103,113
241,145,2020,145_6,0,0,0,666.2094538,70.51470588,88,109,136
242,145,2021,145_6,0,0,0,666.2094538,70.51470588,79,103,113
243,145,2020,145_7,0,0,0,654.1461177,54.92753623,88,109,136
244,145,2021,145_7,0,0,0,654.1461177,54.92753623,79,103,113
245,145,2020,145_8,0,0,0,631.5572965,58.76811594,88,109,136
246,145,2021,145_8,0,0,0,631.5572965,58.76811594,79,103,113
247,145,2020,145_9,0,0,0,648.9913464,76.27659574,88,109,136
248,145,2021,145_9,0,0,0,648.9913464,76.27659574,79,103,113
249,15,2020,15_1,0,0,0,565.240759,45.55147059,72,97,120
250,15,2021,15_1,0,0,0,565.240759,45.55147059,94,133,141
251,15,2020,15_2,0,0,0,560.5386074,13.65942029,72,97,120
252,15,2021,15_2,0,0,0,560.5386074,13.65942029,79,94,133
253,15,2020,15_3,0,0,0,544.6948572,30.18248175,72,97,120
254,15,2021,15_3,0,0,0,544.6948572,30.18248175,79,94,133
255,15,2020,15_4,0,0,0,570.2377633,47.83088235,72,97,120
256,15,2021,15_4,0,0,0,570.2377633,47.83088235,79,94,133
257,15,2020,15_5,0,0,0,600.5107068,82.68115942,72,97,120
